"","x"
"325",158.559997558594
"326",160.550003051758
"327",161.100006103516
"328",161.389999389648
"329",160.279998779297
"330",160.220001220703
"331",161.960006713867
"332",163.509994506836
"333",164.710006713867
"334",163.619995117188
"335",162.910003662109
"336",162.229995727539
"337",162.740005493164
"338",161.559997558594
"339",160.050003051758
"340",160.779998779297
"341",162.139999389648
"342",163.210006713867
"343",163.460006713867
"344",163.75
"345",163.550003051758
"346",161.5
"347",160.100006103516
"348",160.860000610352
"349",159.160003662109
"350",161.139999389648
"351",160.080001831055
"352",161.229995727539
"353",162.160003662109
"354",165.800003051758
"355",166.960006713867
"356",166.080001831055
"357",166.839996337891
"358",171.479995727539
"359",172.830001831055
"360",173.940002441406
"361",173.929992675781
"362",190.429992675781
"363",187.419998168945
"364",187.139999389648
"365",187.869995117188
"366",183.660003662109
"367",186.899993896484
"368",185.789993286133
"369",183.419998168945
"370",183.410003662109
"371",183.740005493164
"372",184.360000610352
"373",186.339996337891
"374",186.160003662109
"375",183.699996948242
"376",183.570007324219
"377",186.869995117188
"378",187.639999389648
"379",183.440002441406
"380",179.699996948242
"381",184.210006713867
"382",185.720001220703
"383",184.130004882812
"384",184.869995117188
"385",185.300003051758
"386",185.029998779297
"387",188.199996948242
"388",193.059997558594
"389",191.949996948242
"390",196.160003662109
"391",196.539993286133
"392",195.949996948242
"393",191.729995727539
"394",197.779998779297
"395",196.699996948242
"396",193.429992675781
"397",191.070007324219
"398",191.690002441406
"399",193.339996337891
"400",193.960006713867
"401",191.899993896484
